Year,Period,Label,Value,Month,Date,State
2019,M01,2019 Jan,3.7,01,2019-01-01,Connecticut
2019,M02,2019 Feb,3.7,02,2019-02-01,Connecticut
2019,M03,2019 Mar,3.6,03,2019-03-01,Connecticut
2019,M04,2019 Apr,3.6,04,2019-04-01,Connecticut
2019,M05,2019 May,3.5,05,2019-05-01,Connecticut
2019,M06,2019 Jun,3.5,06,2019-06-01,Connecticut
2019,M07,2019 Jul,3.5,07,2019-07-01,Connecticut
2019,M08,2019 Aug,3.6,08,2019-08-01,Connecticut
2019,M09,2019 Sep,3.6,09,2019-09-01,Connecticut
2019,M10,2019 Oct,3.6,10,2019-10-01,Connecticut
2019,M11,2019 Nov,3.6,11,2019-11-01,Connecticut
2019,M12,2019 Dec,3.6,12,2019-12-01,Connecticut
2020,M01,2020 Jan,3.7,01,2020-01-01,Connecticut
2020,M02,2020 Feb,3.7,02,2020-02-01,Connecticut
2020,M03,2020 Mar,3.8,03,2020-03-01,Connecticut
2020,M04,2020 Apr,8.6,04,2020-04-01,Connecticut
2020,M05,2020 May,11.4,05,2020-05-01,Connecticut
2020,M06,2020 Jun,11.4,06,2020-06-01,Connecticut
2020,M07,2020 Jul,11.3,07,2020-07-01,Connecticut
2020,M08,2020 Aug,8.4,08,2020-08-01,Connecticut
2020,M09,2020 Sep,8.3,09,2020-09-01,Connecticut
2020,M10,2020 Oct,8.2,10,2020-10-01,Connecticut
2020,M11,2020 Nov,8.2,11,2020-11-01,Connecticut
2020,M12,2020 Dec,8.2,12,2020-12-01,Connecticut
2021,M01,2021 Jan,8.1,01,2021-01-01,Connecticut
2021,M02,2021 Feb,8.5,02,2021-02-01,Connecticut
2021,M03,2021 Mar,8.3,03,2021-03-01,Connecticut
2021,M04,2021 Apr,8.1,04,2021-04-01,Connecticut
2021,M05,2021 May,8.1,05,2021-05-01,Connecticut
2021,M06,2021 Jun,7.7,06,2021-06-01,Connecticut
2021,M07,2021 Jul,7.3,07,2021-07-01,Connecticut
2021,M08,2021 Aug,7.2,08,2021-08-01,Connecticut
2021,M09,2021 Sep,6.8,09,2021-09-01,Connecticut
2019,M01,2019 Jan,3.5,01,2019-01-01,Delaware
2019,M02,2019 Feb,3.5,02,2019-02-01,Delaware
2019,M03,2019 Mar,3.4,03,2019-03-01,Delaware
2019,M04,2019 Apr,3.4,04,2019-04-01,Delaware
2019,M05,2019 May,3.4,05,2019-05-01,Delaware
2019,M06,2019 Jun,3.5,06,2019-06-01,Delaware
2019,M07,2019 Jul,3.6,07,2019-07-01,Delaware
2019,M08,2019 Aug,3.7,08,2019-08-01,Delaware
2019,M09,2019 Sep,3.8,09,2019-09-01,Delaware
2019,M10,2019 Oct,3.9,10,2019-10-01,Delaware
2019,M11,2019 Nov,4.0,11,2019-11-01,Delaware
2019,M12,2019 Dec,4.1,12,2019-12-01,Delaware
2020,M01,2020 Jan,4.3,01,2020-01-01,Delaware
2020,M02,2020 Feb,4.5,02,2020-02-01,Delaware
2020,M03,2020 Mar,4.8,03,2020-03-01,Delaware
2020,M04,2020 Apr,13.4,04,2020-04-01,Delaware
2020,M05,2020 May,13.3,05,2020-05-01,Delaware
2020,M06,2020 Jun,12.9,06,2020-06-01,Delaware
2020,M07,2020 Jul,8.3,07,2020-07-01,Delaware
2020,M08,2020 Aug,7.9,08,2020-08-01,Delaware
2020,M09,2020 Sep,7.6,09,2020-09-01,Delaware
2020,M10,2020 Oct,5.7,10,2020-10-01,Delaware
2020,M11,2020 Nov,5.8,11,2020-11-01,Delaware
2020,M12,2020 Dec,5.9,12,2020-12-01,Delaware
2021,M01,2021 Jan,6.1,01,2021-01-01,Delaware
2021,M02,2021 Feb,6.3,02,2021-02-01,Delaware
2021,M03,2021 Mar,6.5,03,2021-03-01,Delaware
2021,M04,2021 Apr,6.4,04,2021-04-01,Delaware
2021,M05,2021 May,5.9,05,2021-05-01,Delaware
2021,M06,2021 Jun,5.8,06,2021-06-01,Delaware
2021,M07,2021 Jul,5.6,07,2021-07-01,Delaware
2021,M08,2021 Aug,5.4,08,2021-08-01,Delaware
2021,M09,2021 Sep,5.3,09,2021-09-01,Delaware
2019,M01,2019 Jan,5.8,01,2019-01-01,District of Columbia
2019,M02,2019 Feb,5.8,02,2019-02-01,District of Columbia
2019,M03,2019 Mar,5.7,03,2019-03-01,District of Columbia
2019,M04,2019 Apr,5.6,04,2019-04-01,District of Columbia
2019,M05,2019 May,5.4,05,2019-05-01,District of Columbia
2019,M06,2019 Jun,5.3,06,2019-06-01,District of Columbia
2019,M07,2019 Jul,5.2,07,2019-07-01,District of Columbia
2019,M08,2019 Aug,5.2,08,2019-08-01,District of Columbia
2019,M09,2019 Sep,5.1,09,2019-09-01,District of Columbia
2019,M10,2019 Oct,5.0,10,2019-10-01,District of Columbia
2019,M11,2019 Nov,4.9,11,2019-11-01,District of Columbia
2019,M12,2019 Dec,4.9,12,2019-12-01,District of Columbia
2020,M01,2020 Jan,4.9,01,2020-01-01,District of Columbia
2020,M02,2020 Feb,5.0,02,2020-02-01,District of Columbia
2020,M03,2020 Mar,5.2,03,2020-03-01,District of Columbia
